# experiment_label: PTC_module_test,,,,,,,,,,
# pc_start_time: 2026-02-16T12:30:55,,,,,,,,,,
# columns: pc_time, rel_s, rel_min, arduino_ms,phase,T_mean_C,setpoint_C,dTdt,heater_state,pump_state,
pc_time_iso,t_rel_s,t_rel_min,arduino_ms,phase,T_mean_C,setpoint_C,dTdt,heater_state,pump_state,raw_line
2026-02-16T12:36:44,351.32,5.855,349228,HOLD,37,37,0.003582,OFF,OFF,"349228,HOLD,37.000,37.00,0.003582,OFF,OFF"
2026-02-16T12:36:47,354.41,5.907,352317,HOLD,37,37,0.011984,OFF,OFF,"352317,HOLD,37.000,37.00,0.011984,OFF,OFF"
2026-02-16T12:36:50,357.51,5.958,355405,HOLD,36.969,37,0.011984,OFF,OFF,"355405,HOLD,36.969,37.00,0.011984,OFF,OFF"
2026-02-16T12:36:53,360.6,6.01,358495,HOLD,36.906,37,0.004731,OFF,OFF,"358495,HOLD,36.906,37.00,0.004731,OFF,OFF"
2026-02-16T12:36:57,363.69,6.062,361584,HOLD,36.906,37,-0.004542,OFF,OFF,"361584,HOLD,36.906,37.00,-0.004542,OFF,OFF"
2026-02-16T12:37:00,366.78,6.113,364674,HOLD,36.906,37,-0.004542,ON,OFF,"364674,HOLD,36.906,37.00,-0.004542,ON,OFF"
2026-02-16T12:37:03,369.88,6.165,367763,HOLD,37.031,37,0.004652,OFF,OFF,"367763,HOLD,37.031,37.00,0.004652,OFF,OFF"
2026-02-16T12:37:06,372.97,6.216,370851,HOLD,37.094,37,0.004652,OFF,OFF,"370851,HOLD,37.094,37.00,0.004652,OFF,OFF"
2026-02-16T12:37:09,376.06,6.268,373941,HOLD,37.094,37,0.012628,OFF,OFF,"373941,HOLD,37.094,37.00,0.012628,OFF,OFF"
2026-02-16T12:37:12,379.16,6.319,377029,HOLD,37.062,37,0.002656,OFF,OFF,"377029,HOLD,37.062,37.00,0.002656,OFF,OFF"
2026-02-16T12:37:15,382.25,6.371,380118,HOLD,37,37,0.002656,OFF,OFF,"380118,HOLD,37.000,37.00,0.002656,OFF,OFF"
2026-02-16T12:37:18,385.34,6.422,383207,HOLD,36.969,37,-0.000866,OFF,OFF,"383207,HOLD,36.969,37.00,-0.000866,OFF,OFF"
2026-02-16T12:37:21,388.43,6.474,386296,HOLD,37.031,37,-0.000866,OFF,OFF,"386296,HOLD,37.031,37.00,-0.000866,OFF,OFF"
2026-02-16T12:37:24,391.53,6.525,389385,HOLD,37.062,37,0.001939,OFF,OFF,"389385,HOLD,37.062,37.00,0.001939,OFF,OFF"
2026-02-16T12:37:27,394.62,6.577,392474,HOLD,37.031,37,0.001164,OFF,OFF,"392474,HOLD,37.031,37.00,0.001164,OFF,OFF"
2026-02-16T12:37:31,397.71,6.629,395563,HOLD,37,37,0.001164,OFF,OFF,"395563,HOLD,37.000,37.00,0.001164,OFF,OFF"
2026-02-16T12:37:34,400.8,6.68,398652,HOLD,36.969,37,-0.00422,ON,OFF,"398652,HOLD,36.969,37.00,-0.004220,ON,OFF"
2026-02-16T12:37:37,403.9,6.732,401740,HOLD,37,37,-0.00422,OFF,OFF,"401740,HOLD,37.000,37.00,-0.004220,OFF,OFF"
2026-02-16T12:37:40,406.99,6.783,404830,HOLD,37.031,37,-0.000073,OFF,OFF,"404830,HOLD,37.031,37.00,-0.000073,OFF,OFF"
2026-02-16T12:37:43,410.08,6.835,407918,HOLD,37,37,-0.000044,OFF,OFF,"407918,HOLD,37.000,37.00,-0.000044,OFF,OFF"
2026-02-16T12:37:46,413.17,6.886,411006,HOLD,36.969,37,-0.000044,OFF,OFF,"411006,HOLD,36.969,37.00,-0.000044,OFF,OFF"
2026-02-16T12:37:49,416.27,6.938,414096,HOLD,36.969,37,-0.002486,OFF,OFF,"414096,HOLD,36.969,37.00,-0.002486,OFF,OFF"
2026-02-16T12:37:52,419.36,6.989,417185,HOLD,36.969,37,-0.001492,OFF,OFF,"417185,HOLD,36.969,37.00,-0.001492,OFF,OFF"
2026-02-16T12:37:55,422.45,7.041,420275,HOLD,37.031,37,-0.001492,OFF,OFF,"420275,HOLD,37.031,37.00,-0.001492,OFF,OFF"
2026-02-16T12:37:58,425.55,7.092,423363,HOLD,37.094,37,0.008944,OFF,OFF,"423363,HOLD,37.094,37.00,0.008944,OFF,OFF"
2026-02-16T12:38:01,428.64,7.144,426452,HOLD,37.062,37,0.008944,OFF,OFF,"426452,HOLD,37.062,37.00,0.008944,OFF,OFF"
2026-02-16T12:38:05,431.73,7.196,429541,HOLD,37.062,37,0.000448,OFF,OFF,"429541,HOLD,37.062,37.00,0.000448,OFF,OFF"
2026-02-16T12:38:08,434.82,7.247,432629,HOLD,37.031,37,0.000269,OFF,OFF,"432629,HOLD,37.031,37.00,0.000269,OFF,OFF"
2026-02-16T12:38:11,437.92,7.299,435719,HOLD,37,37,0.000269,OFF,OFF,"435719,HOLD,37.000,37.00,0.000269,OFF,OFF"
2026-02-16T12:38:14,441.01,7.35,438808,HOLD,36.969,37,-0.004758,OFF,OFF,"438808,HOLD,36.969,37.00,-0.004758,OFF,OFF"
2026-02-16T12:38:17,444.1,7.402,441896,HOLD,36.969,37,-0.004758,OFF,OFF,"441896,HOLD,36.969,37.00,-0.004758,OFF,OFF"
2026-02-16T12:38:20,447.19,7.453,444986,HOLD,37,37,-0.002855,OFF,OFF,"444986,HOLD,37.000,37.00,-0.002855,OFF,OFF"
2026-02-16T12:38:23,450.29,7.505,448075,HOLD,37,37,0.003208,OFF,OFF,"448075,HOLD,37.000,37.00,0.003208,OFF,OFF"
2026-02-16T12:38:26,453.38,7.556,451164,HOLD,37,37,0.003208,OFF,OFF,"451164,HOLD,37.000,37.00,0.003208,OFF,OFF"
2026-02-16T12:38:29,456.47,7.608,454252,HOLD,36.969,37,-0.000534,OFF,OFF,"454252,HOLD,36.969,37.00,-0.000534,OFF,OFF"
2026-02-16T12:38:32,459.57,7.659,457341,HOLD,36.969,37,-0.000534,OFF,OFF,"457341,HOLD,36.969,37.00,-0.000534,OFF,OFF"
2026-02-16T12:38:35,462.66,7.711,460431,HOLD,36.969,37,-0.00278,OFF,OFF,"460431,HOLD,36.969,37.00,-0.002780,OFF,OFF"
2026-02-16T12:38:39,465.75,7.763,463519,HOLD,36.937,37,-0.004128,OFF,OFF,"463519,HOLD,36.937,37.00,-0.004128,OFF,OFF"
2026-02-16T12:38:42,468.84,7.814,466609,HOLD,36.937,37,-0.004128,OFF,OFF,"466609,HOLD,36.937,37.00,-0.004128,OFF,OFF"
2026-02-16T12:38:45,471.94,7.866,469698,HOLD,37,37,0.002441,OFF,OFF,"469698,HOLD,37.000,37.00,0.002441,OFF,OFF"
2026-02-16T12:38:48,475.03,7.917,472786,HOLD,37,37,0.002441,OFF,OFF,"472786,HOLD,37.000,37.00,0.002441,OFF,OFF"
2026-02-16T12:38:51,478.12,7.969,475875,HOLD,37,37,0.001465,OFF,OFF,"475875,HOLD,37.000,37.00,0.001465,OFF,OFF"
2026-02-16T12:38:54,481.21,8.02,478964,HOLD,36.937,37,-0.004042,OFF,OFF,"478964,HOLD,36.937,37.00,-0.004042,OFF,OFF"
2026-02-16T12:38:57,484.31,8.072,482054,HOLD,36.937,37,-0.004042,OFF,OFF,"482054,HOLD,36.937,37.00,-0.004042,OFF,OFF"
2026-02-16T12:39:00,487.4,8.123,485143,HOLD,36.937,37,-0.002425,OFF,OFF,"485143,HOLD,36.937,37.00,-0.002425,OFF,OFF"
2026-02-16T12:39:03,490.49,8.175,488231,HOLD,37,37,0.003466,OFF,OFF,"488231,HOLD,37.000,37.00,0.003466,OFF,OFF"
2026-02-16T12:39:06,493.59,8.226,491321,HOLD,37.031,37,0.003466,OFF,OFF,"491321,HOLD,37.031,37.00,0.003466,OFF,OFF"
2026-02-16T12:39:09,496.68,8.278,494409,HOLD,37,37,0.00208,OFF,OFF,"494409,HOLD,37.000,37.00,0.002080,OFF,OFF"
2026-02-16T12:39:13,499.77,8.33,497498,HOLD,37,37,0.00208,OFF,OFF,"497498,HOLD,37.000,37.00,0.002080,OFF,OFF"
2026-02-16T12:39:16,502.86,8.381,500587,HOLD,36.937,37,0.001248,OFF,OFF,"500587,HOLD,36.937,37.00,0.001248,OFF,OFF"
2026-02-16T12:39:19,505.96,8.433,503676,HOLD,36.937,37,-0.004173,OFF,OFF,"503676,HOLD,36.937,37.00,-0.004173,OFF,OFF"
2026-02-16T12:39:22,509.05,8.484,506765,HOLD,36.937,37,-0.004173,ON,OFF,"506765,HOLD,36.937,37.00,-0.004173,ON,OFF"
2026-02-16T12:39:25,512.14,8.536,509854,HOLD,37,37,-0.000044,OFF,OFF,"509854,HOLD,37.000,37.00,-0.000044,OFF,OFF"
