# experiment_label: PTC_module_test,,,,,,,,,,
# pc_start_time: 2026-02-16T12:17:47,,,,,,,,,,
# columns: pc_time, rel_s, rel_min, arduino_ms,phase,T_mean_C,setpoint_C,dTdt,heater_state,pump_state,
pc_time_iso,t_rel_s,t_rel_min,arduino_ms,phase,T_mean_C,setpoint_C,dTdt,heater_state,pump_state,raw_line
2026-02-16T12:17:50,4.67,0.078,3008,WARMUP,19.844,40,0,OFF,OFF,"3008,WARMUP,19.844,40.00,0.000000,OFF,OFF"
2026-02-16T12:17:53,7.77,0.129,6100,WARMUP,19.875,40,0,OFF,OFF,"6100,WARMUP,19.875,40.00,0.000000,OFF,OFF"
2026-02-16T12:17:56,10.86,0.181,9192,WARMUP,19.937,40,0,ON,OFF,"9192,WARMUP,19.937,40.00,0.000000,ON,OFF"
2026-02-16T12:17:59,13.96,0.233,12283,WARMUP,20.125,40,0.014741,ON,OFF,"12283,WARMUP,20.125,40.00,0.014741,ON,OFF"
2026-02-16T12:18:02,17.06,0.284,15376,WARMUP,20.406,40,0.038343,ON,OFF,"15376,WARMUP,20.406,40.00,0.038343,ON,OFF"
2026-02-16T12:18:05,20.15,0.336,18467,WARMUP,20.812,40,0.038343,ON,OFF,"18467,WARMUP,20.812,40.00,0.038343,ON,OFF"
2026-02-16T12:18:08,23.25,0.387,21560,WARMUP,21.406,40,0.084437,ON,OFF,"21560,WARMUP,21.406,40.00,0.084437,ON,OFF"
2026-02-16T12:18:11,26.34,0.439,24651,WARMUP,22.031,40,0.084437,ON,OFF,"24651,WARMUP,22.031,40.00,0.084437,ON,OFF"
2026-02-16T12:18:15,29.44,0.491,27744,WARMUP,22.656,40,0.129278,ON,OFF,"27744,WARMUP,22.656,40.00,0.129278,ON,OFF"
2026-02-16T12:18:18,32.53,0.542,30835,WARMUP,23.25,40,0.16113,OFF,OFF,"30835,WARMUP,23.250,40.00,0.161130,OFF,OFF"
2026-02-16T12:31:28,35.64,0.594,33928,WARMUP,25.937,37,0.133818,OFF,OFF,"33928,WARMUP,25.937,37.00,0.133818,OFF,OFF"
2026-02-16T12:31:32,38.73,0.646,37020,WARMUP,26.469,37,0.151551,OFF,OFF,"37020,WARMUP,26.469,37.00,0.151551,OFF,OFF"
2026-02-16T12:31:35,41.83,0.697,40112,WARMUP,27,37,0.151551,OFF,OFF,"40112,WARMUP,27.000,37.00,0.151551,OFF,OFF"
2026-02-16T12:31:38,44.92,0.749,43204,WARMUP,27.531,37,0.162177,ON,OFF,"43204,WARMUP,27.531,37.00,0.162177,ON,OFF"
2026-02-16T12:31:41,48.02,0.8,46297,WARMUP,28,37,0.158761,ON,OFF,"46297,WARMUP,28.000,37.00,0.158761,ON,OFF"
2026-02-16T12:31:44,51.12,0.852,49388,WARMUP,28.406,37,0.158761,ON,OFF,"49388,WARMUP,28.406,37.00,0.158761,ON,OFF"
2026-02-16T12:31:47,54.21,0.904,52481,WARMUP,28.781,37,0.146849,ON,OFF,"52481,WARMUP,28.781,37.00,0.146849,ON,OFF"
2026-02-16T12:31:50,57.31,0.955,55572,WARMUP,29.125,37,0.146849,ON,OFF,"55572,WARMUP,29.125,37.00,0.146849,ON,OFF"
2026-02-16T12:31:53,60.4,1.007,58664,WARMUP,29.562,37,0.134788,ON,OFF,"58664,WARMUP,29.562,37.00,0.134788,ON,OFF"
2026-02-16T12:31:56,63.5,1.058,61757,WARMUP,29.969,37,0.132495,OFF,OFF,"61757,WARMUP,29.969,37.00,0.132495,OFF,OFF"
2026-02-16T12:31:59,66.59,1.11,64848,WARMUP,30.469,37,0.132495,OFF,OFF,"64848,WARMUP,30.469,37.00,0.132495,OFF,OFF"
2026-02-16T12:32:03,69.69,1.162,67941,WARMUP,30.937,37,0.14583,OFF,OFF,"67941,WARMUP,30.937,37.00,0.145830,OFF,OFF"
