# experiment_label: PTC_module_test,,,,,,,,,,
# pc_start_time: 2026-02-16T14:29:31,,,,,,,,,,
# columns: pc_time, rel_s, rel_min, arduino_ms,phase,T_mean_C,setpoint_C,dTdt,heater_state,pump_state,
pc_time_iso,t_rel_s,t_rel_min,arduino_ms,phase,T_mean_C,setpoint_C,dTdt,heater_state,pump_state,raw_line
2026-02-16T14:30:30,61.8,1.03,60056,HOLD,37,37,0.003941,OFF,OFF,"60056,HOLD,37.000,37.00,0.003941,OFF,OFF"
2026-02-16T14:31:31,121.91,2.032,120096,HOLD,37,37,0.001149,OFF,OFF,"120096,HOLD,37.000,37.00,0.001149,OFF,OFF"
2026-02-16T14:32:31,182.03,3.034,180136,HOLD,37,37,0.000824,OFF,OFF,"180136,HOLD,37.000,37.00,0.000824,OFF,OFF"
2026-02-16T14:33:31,242.14,4.036,240176,HOLD,36.969,37,-0.002395,ON,OFF,"240176,HOLD,36.969,37.00,-0.002395,ON,OFF"
2026-02-16T14:34:31,302.26,5.038,300217,HOLD,37,37,-0.000292,OFF,OFF,"300217,HOLD,37.000,37.00,-0.000292,OFF,OFF"
2026-02-16T14:35:31,362.37,6.04,360256,HOLD,37.031,37,0.00198,OFF,OFF,"360256,HOLD,37.031,37.00,0.001980,OFF,OFF"
2026-02-16T14:36:31,422.48,7.041,420296,HOLD,36.969,37,-0.000125,OFF,OFF,"420296,HOLD,36.969,37.00,-0.000125,OFF,OFF"
2026-02-16T14:37:31,482.6,8.043,480335,HOLD,37,37,0.000357,OFF,OFF,"480335,HOLD,37.000,37.00,0.000357,OFF,OFF"
2026-02-16T14:38:31,542.71,9.045,540376,HOLD,36.937,37,0.00024,ON,OFF,"540376,HOLD,36.937,37.00,0.000240,ON,OFF"
2026-02-16T14:39:32,602.83,10.047,600416,HOLD,37,37,-0.000677,OFF,OFF,"600416,HOLD,37.000,37.00,-0.000677,OFF,OFF"
2026-02-16T14:40:32,662.94,11.049,660456,HOLD,37.031,37,0.000709,OFF,OFF,"660456,HOLD,37.031,37.00,0.000709,OFF,OFF"
2026-02-16T14:41:32,723.05,12.051,720496,HOLD,37,37,-0.001714,OFF,OFF,"720496,HOLD,37.000,37.00,-0.001714,OFF,OFF"
2026-02-16T14:42:32,783.17,13.053,780536,HOLD,36.969,37,0.000338,OFF,OFF,"780536,HOLD,36.969,37.00,0.000338,OFF,OFF"
2026-02-16T14:43:32,843.28,14.055,840576,HOLD,37.031,37,0.000697,OFF,OFF,"840576,HOLD,37.031,37.00,0.000697,OFF,OFF"
2026-02-16T14:44:32,903.4,15.057,900616,HOLD,37.062,37,0.004626,OFF,OFF,"900616,HOLD,37.062,37.00,0.004626,OFF,OFF"
2026-02-16T14:45:32,963.51,16.059,960656,HOLD,36.969,37,0.000036,OFF,OFF,"960656,HOLD,36.969,37.00,0.000036,OFF,OFF"
2026-02-16T14:46:32,1023.62,17.06,1020695,HOLD,37,37,0.000029,OFF,OFF,"1020695,HOLD,37.000,37.00,0.000029,OFF,OFF"
2026-02-16T14:47:32,1083.74,18.062,1080735,HOLD,37,37,-0.002808,OFF,OFF,"1080735,HOLD,37.000,37.00,-0.002808,OFF,OFF"
2026-02-16T14:48:33,1143.85,19.064,1140774,HOLD,37.031,37,-0.000417,OFF,OFF,"1140774,HOLD,37.031,37.00,-0.000417,OFF,OFF"
2026-02-16T14:49:33,1203.97,20.066,1200814,HOLD,36.937,37,-0.000289,ON,OFF,"1200814,HOLD,36.937,37.00,-0.000289,ON,OFF"
2026-02-16T14:50:33,1264.08,21.068,1260855,HOLD,37,37,0.000862,OFF,OFF,"1260855,HOLD,37.000,37.00,0.000862,OFF,OFF"
2026-02-16T14:51:33,1324.2,22.07,1320894,HOLD,37,37,-0.001143,OFF,OFF,"1320894,HOLD,37.000,37.00,-0.001143,OFF,OFF"
2026-02-16T14:52:33,1384.31,23.072,1380934,HOLD,37,37,-0.000345,OFF,OFF,"1380934,HOLD,37.000,37.00,-0.000345,OFF,OFF"
2026-02-16T14:53:33,1444.42,24.074,1440974,HOLD,37,37,0.000879,OFF,OFF,"1440974,HOLD,37.000,37.00,0.000879,OFF,OFF"
2026-02-16T14:54:33,1504.54,25.076,1501015,HOLD,37.062,37,0.00125,OFF,OFF,"1501015,HOLD,37.062,37.00,0.001250,OFF,OFF"
2026-02-16T14:55:33,1564.65,26.078,1561055,HOLD,36.969,37,-0.001,OFF,OFF,"1561055,HOLD,36.969,37.00,-0.001000,OFF,OFF"
2026-02-16T14:56:33,1624.77,27.079,1621096,HOLD,37.031,37,0.003295,OFF,OFF,"1621096,HOLD,37.031,37.00,0.003295,OFF,OFF"
2026-02-16T14:57:34,1684.88,28.081,1681135,HOLD,37,37,-0.001522,OFF,OFF,"1681135,HOLD,37.000,37.00,-0.001522,OFF,OFF"
